IndicatorCode,SpatialDim,ParentLocation,TimeDim,NumericValue,Low,High,Dim1
WHOSIS_000001,KGZ,Europe,2019,77.13811,76.8638,77.46015,SEX_FMLE
WHOSIS_000001,NAM,Africa,2008,61.8156,60.72029,62.79459,SEX_FMLE
WHOSIS_000001,UKR,Europe,2016,72.62864,72.60706,72.71362,SEX_BTSX
WHOSIS_000001,TJK,Europe,2009,67.5506,67.03045,68.34309,SEX_MLE
WHOSIS_000001,SWZ,Africa,2012,49.10837,47.70894,50.56684,SEX_BTSX
WHOSIS_000001,UGA,Africa,2017,68.5859,67.95821,69.49753,SEX_FMLE
WHOSIS_000001,MMR,South-East Asia,2009,66.94488,66.3948,67.78673,SEX_FMLE
WHOSIS_000001,TON,Western Pacific,2011,75.00946,74.55896,75.68419,SEX_FMLE
WHOSIS_000001,ARG,Americas,2008,75.69497,75.67888,75.77247,SEX_BTSX
WHOSIS_000001,EGY,Eastern Mediterranean,2014,70.46262,70.15767,70.70614,SEX_BTSX
WHOSIS_000001,FJI,Western Pacific,2007,67.10364,66.84642,67.37154,SEX_BTSX
